WEO Country Group Code,WEO Subject Code,Country Group Name,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,Estimates Start After
1,NGDP_RPCH,World,"Gross domestic product, constant prices",,Percent change,,,2.059,1.944,0.683,2.648,4.566,3.642,3.625,3.867,4.659,3.789,3.42,2.658,2.321,2.028,3.231,3.349,3.901,3.996,2.578,3.547,4.811,2.459,2.887,4.264,5.423,4.857,5.394,5.57,3.102,-0.092,5.437,4.3,3.545,3.418,3.542,3.442,3.262,3.75,3.63,2.81,-2.805,6.275,3.416,2.831,3.023,3.157,3.16,3.065,3.049,
1,NGDP_RPCHMK,World,"Gross domestic product, constant prices",,Percent change (market exchange rates),,,1.638,1.992,0.448,2.782,4.811,3.668,3.365,3.748,4.559,3.792,3.145,1.942,2.522,1.68,3.387,2.907,3.313,3.484,2.339,3.163,4.241,1.678,1.878,2.868,4.033,3.564,3.921,3.852,1.606,-2.023,4.188,3.084,2.497,2.599,2.845,2.843,2.629,3.284,3.205,2.487,-3.218,6.04,3.009,2.369,2.437,2.686,2.708,2.619,2.593,
1,NGDPD,World,"Gross domestic product, current prices",,U.S. dollars,Billions,,"11,236.07","11,496.41","11,284.65","11,586.74","11,999.27","12,528.45","14,771.91","17,008.44","19,125.11","20,121.24","22,612.40","23,638.64","25,317.14","26,037.13","27,989.36","31,209.78","32,078.12","31,993.03","31,836.90","32,965.26","34,056.85","33,804.77","34,917.48","39,211.89","44,137.06","47,810.12","51,778.05","58,452.14","64,160.76","60,776.59","66,487.95","73,781.26","75,227.50","77,387.38","79,449.96","74,968.48","76,227.95","81,050.96","85,966.83","87,283.60","84,894.92","96,314.46","100,218.40","105,568.78","110,763.88","116,449.85","122,425.78","128,505.33","134,950.48",
1,PPPGDP,World,"Gross domestic product, current prices",,Purchasing power parity; international dollars,Billions,,"13,428.48","14,959.64","15,939.34","16,964.96","18,351.35","19,609.11","20,697.71","22,010.90","23,816.93","25,657.13","27,686.85","29,317.91","33,290.37","34,737.64","36,525.31","38,653.21","40,863.59","43,243.14","44,926.79","47,126.29","50,505.72","52,887.61","55,221.74","58,595.25","63,341.96","68,436.11","74,266.78","80,401.40","84,383.89","84,588.40","90,156.48","95,724.10","100,784.81","105,716.88","109,661.82","111,933.76","116,226.60","122,391.78","129,799.24","135,745.02","133,368.12","147,909.75","163,510.10","174,471.28","183,653.99","193,002.21","202,751.82","212,711.06","223,271.94",
1,NGDP_D,World,"Gross domestic product, deflator",,"Index, 2000=100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NGDPRPPPPC,World,"Gross domestic product per capita, constant prices",,Purchasing power parity; 2017 international dollar,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PPPPC,World,"Gross domestic product per capita, current prices",,Purchasing power parity; international dollars,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NGAP_NPGDP,World,Output gap,,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PPPSH,World,Gross domestic product based on purchasing-power-parity (PPP) share of world total,"These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NID_NGDP,World,Investment,,Percent of GDP,,,26.433,25.881,24.319,23.865,24.853,24.563,24.425,24.836,25.727,26.19,25.817,25.028,24.247,23.777,24.15,24.267,24.151,24.094,23.793,23.809,24.313,23.524,22.881,23.078,23.813,24.184,24.692,25.239,25.237,23.273,24.424,25.249,25.419,25.467,25.76,25.796,25.472,25.951,26.482,26.466,26.313,27.039,27.499,27.176,27.301,27.406,27.478,27.5,27.473,
1,NGSD_NGDP,World,Gross national savings,,Percent of GDP,,,23.923,23.633,22.152,21.411,22.593,22.124,22.099,22.765,23.875,24.029,23.778,23.173,22.5,22.424,22.603,23.102,23.803,24.02,23.715,23.597,24.103,23.244,22.657,22.856,23.802,24.3,25.307,25.464,25.016,23.224,24.758,25.73,26.147,26.135,26.592,26.398,25.989,26.666,26.997,26.991,26.963,27.949,28.017,27.477,27.644,27.745,27.777,27.708,27.612,
1,PCPIPCH,World,"Inflation, average consumer prices",,Percent change,,,17.286,15.066,14.18,13.354,13.969,13.69,11.767,14.521,19.496,22.819,26.242,17.147,38.382,39.007,31.063,16.052,9.333,6.525,6.321,6.179,4.839,4.56,3.671,3.884,3.794,4.031,4.054,4.299,6.343,2.727,3.698,5.076,4.078,3.615,3.228,2.749,2.745,3.241,3.619,3.507,3.247,4.695,8.731,6.974,4.87,3.912,3.613,3.525,3.472,
